instance,best_known,coloring_cwls_primal,coloring_cwls_time_to_best_known,coloring_cwls_time_to_improve,coloring_cwls_time_opt
sqrpecn58790,9999999,582,6.165599916130304e-5,6.165599916130304e-5,-
sqrpecn61354,9999999,524,5.5805998272262514e-5,5.5805998272262514e-5,-
sqrpecn62891,9999999,524,7.749700307613239e-5,7.749700307613239e-5,-
sqrpecn65041,9999999,575,6.156699964776635e-5,6.156699964776635e-5,-
sqrpecn67473,9999999,553,6.796800153097138e-5,6.796800153097138e-5,-
sqrpecn69904,9999999,666,6.576399755431339e-5,6.576399755431339e-5,-
sqrpecn71261,9999999,584,5.5796001106500626e-5,5.5796001106500626e-5,-
sqrpecn71571,9999999,640,0.00016816800052765757,0.00016816800052765757,-
sqrpecn73925,9999999,677,7.617400115123019e-5,7.617400115123019e-5,-
visp26405,9999999,81,4.234999869368039e-5,4.234999869368039e-5,-
visp27975,9999999,48,0.0001788829977158457,0.0001788829977158457,-
visp29489,9999999,108,4.288999843993224e-5,4.288999843993224e-5,-
visp31334,9999999,82,5.431300087366253e-5,5.431300087366253e-5,-
visp32354,9999999,76,4.291100049158558e-5,4.291100049158558e-5,-
visp34162,9999999,128,0.00019128300482407212,0.00019128300482407212,-
visp35881,9999999,122,0.00017922199913300574,0.00017922199913300574,-
visp37336,9999999,132,0.00018063999596051872,0.00018063999596051872,-
visp38574,9999999,134,5.472300108522177e-5,5.472300108522177e-5,-
visp40191,9999999,104,4.438299947651103e-5,4.438299947651103e-5,-
visp41039,9999999,135,5.0916001782752573e-5,5.0916001782752573e-5,-
visp43093,9999999,113,4.6818000555504113e-5,4.6818000555504113e-5,-
visp44362,9999999,128,0.00018655900203157216,0.00018655900203157216,-
visp45466,9999999,109,4.772000102093443e-5,4.772000102093443e-5,-
visp46936,9999999,92,0.00016985599359031767,0.00016985599359031767,-
visp48558,9999999,144,0.00012890499783679843,0.00012890499783679843,-
visp50129,9999999,156,5.375099863158539e-5,5.375099863158539e-5,-
visp51133,9999999,84,3.6509998608380556e-5,3.6509998608380556e-5,-
visp53088,9999999,121,0.00018322700634598732,0.00018322700634598732,-
visp55158,9999999,121,0.00013710900384467095,0.00013710900384467095,-
visp57201,9999999,137,7.016200106590986e-5,7.016200106590986e-5,-
visp59449,9999999,119,7.554300100309774e-5,7.554300100309774e-5,-
visp60660,9999999,106,6.123600178398192e-5,6.123600178398192e-5,-
visp62685,9999999,119,5.004400009056553e-5,5.004400009056553e-5,-
visp64932,9999999,205,0.00018622100469656289,0.00018622100469656289,-
visp66498,9999999,103,6.069400114938617e-5,6.069400114938617e-5,-
visp68333,9999999,158,0.00020311999833211303,0.00020311999833211303,-
visp70702,9999999,148,5.0225000450154766e-5,5.0225000450154766e-5,-
visp71536,9999999,187,0.00015207000251393765,0.00015207000251393765,-
visp73369,9999999,249,8.169499778887257e-5,8.169499778887257e-5,-
vispecn2518,9999999,58,3.212299998267554e-5,3.212299998267554e-5,-
vispecn5478,9999999,114,4.4807999074691907e-5,4.4807999074691907e-5,-
vispecn7028,9999999,120,3.879300129483454e-5,3.879300129483454e-5,-
vispecn10178,9999999,114,4.6347999159479514e-5,4.6347999159479514e-5,-
vispecn11917,9999999,138,4.234999869368039e-5,4.234999869368039e-5,-
vispecn13806,9999999,224,6.5202999394387e-5,6.5202999394387e-5,-
vispecn15912,9999999,194,5.166700066183694e-5,5.166700066183694e-5,-
vispecn16227,9999999,251,5.894100104342215e-5,5.894100104342215e-5,-
vispecn17665,9999999,271,0.0001264099992113188,0.0001264099992113188,-
vispecn19370,9999999,198,3.909299994120374e-5,3.909299994120374e-5,-
vispecn20413,9999999,302,3.4425000194460154e-5,3.4425000194460154e-5,-
vispecn25263,9999999,161,0.00016656900697853416,0.00016656900697853416,-
vispecn26025,9999999,207,0.00019452799460850656,0.00019452799460850656,-
vispecn26166,9999999,282,6.151600246084854e-5,6.151600246084854e-5,-
vispecn26914,9999999,182,0.0001930940052261576,0.0001930940052261576,-
vispecn27222,9999999,187,6.291799945756793e-5,6.291799945756793e-5,-
vispecn27480,9999999,160,5.53639983991161e-5,5.53639983991161e-5,-
vispecn27572,9999999,309,0.0001700160064501688,0.0001700160064501688,-
vispecn28567,9999999,266,6.041400047251955e-5,6.041400047251955e-5,-
vispecn31031,9999999,233,5.144700116943568e-5,5.144700116943568e-5,-
vispecn33280,9999999,204,0.00019258199608884752,0.00019258199608884752,-
vispecn35198,9999999,247,0.00019731999782379717,0.00019731999782379717,-
vispecn37349,9999999,338,0.00016424899513367563,0.00016424899513367563,-
vispecn39381,9999999,246,4.578600055538118e-5,4.578600055538118e-5,-
vispecn41599,9999999,338,0.00020849599968641996,0.00020849599968641996,-
vispecn43993,9999999,353,0.00018486900080461055,0.00018486900080461055,-
vispecn45672,9999999,231,0.00017981800192501396,0.00017981800192501396,-
vispecn46968,9999999,259,6.461200246121734e-5,6.461200246121734e-5,-
vispecn47378,9999999,281,6.0493999626487494e-5,6.0493999626487494e-5,-
vispecn48944,9999999,273,5.86300011491403e-5,5.86300011491403e-5,-
vispecn50715,9999999,262,6.35190008324571e-5,6.35190008324571e-5,-
vispecn53314,9999999,277,5.5655000323895365e-5,5.5655000323895365e-5,-
vispecn55775,9999999,271,4.5986998884472996e-5,4.5986998884472996e-5,-
vispecn58391,9999999,379,0.00020111699996050447,0.00020111699996050447,-
vispecn61049,9999999,343,0.00015142500342335552,0.00015142500342335552,-
vispecn63113,9999999,308,5.50559998373501e-5,5.50559998373501e-5,-
vispecn65831,9999999,451,0.0001792880066204816,0.0001792880066204816,-
vispecn67795,9999999,348,7.400000322377309e-5,7.400000322377309e-5,-
vispecn70501,9999999,481,7.144499977584928e-5,7.144499977584928e-5,-
vispecn71708,9999999,465,0.00023345299996435642,0.00023345299996435642,-
vispecn74166,9999999,339,6.441200093831867e-5,6.441200093831867e-5,-
